;CO_IES;NO_IES;SG_IES;SG_UF_IES;NO_CAMPUS;CO_IES_CURSO;NO_CURSO;DS_TURNO;DS_FORMACAO;QT_VAGAS_CONCORRENCIA;NO_MODALIDADE_CONCORRENCIA;ST_BONUS_PERC;QT_BONUS_PERC;NO_ACAO_AFIRMATIVA_BONUS;NU_NOTA_CANDIDATO;NU_NOTACORTE_CONCORRIDA;NU_CLASSIFICACAO;ENSINO_MEDIO;QUILOMBOLA;DEFICIENTE;TIPO_CONCORRENCIA
0;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;709,94;635,54;1;S;N;N;AC
1;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;683,18;635,54;2;S;N;N;AC
2;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;679,78;635,54;3;N;N;N;AC
3;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;679,76;635,54;4;N;N;N;AC
4;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;678,22;635,54;5;N;N;N;AC
5;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;663,74;635,54;6;N;N;N;AC
6;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;663,7;635,54;7;N;N;N;AC
7;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;662,84;635,54;8;N;N;N;AC
8;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;662,48;635,54;9;S;N;N;AC
9;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;660,94;635,54;10;S;N;N;AC
10;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;659,54;635,54;11;N;N;N;AC
